,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0,36,104,0,320,1814,48,0,1064,0,406,1184,893,1505,1211,1136,73,637,934,1,109,932,0,181,708,1028,602,239,0,1568,7,5,587,8,140,0,1294,1076,22,398,863
1,36,0,26,741,2292,204,1883,0,1,722,207,11,145,1,710,638,487,1442,1919,2112,666,534,1303,2355,1907,398,1782,1466,0,3,1337,2255,241,365,1447,353,1,23,93,1101,284
2,104,26,0,99,73,357,13,115,47,47,412,126,68,177,96,316,192,50,275,24,198,99,0,86,479,123,133,733,70,125,314,70,890,661,42,241,52,214,56,790,96
3,0,741,99,0,582,39,437,5,0,1592,57,1,12,0,214,815,1016,347,691,668,196,306,416,511,558,129,446,929,11,0,1805,1525,534,1330,308,1361,0,80,207,1436,49
4,320,2292,73,582,0,729,1294,0,25,555,645,63,650,53,1357,840,411,1014,2660,1584,721,989,1027,2549,2489,1074,2708,1715,1,52,1245,1915,261,274,919,207,38,65,47,1375,928
5,1814,204,357,39,729,0,125,15,980,0,1138,1129,1290,1502,1687,1422,126,660,1667,60,379,1352,0,576,1564,1653,1197,775,69,1386,317,155,879,237,145,112,1160,1095,6,1065,1376
6,48,1883,13,437,1294,125,0,0,3,461,131,14,81,3,523,433,269,1545,1148,1137,755,433,1062,1777,1484,283,1159,996,0,5,915,1099,107,134,1589,106,3,16,8,609,165
7,0,0,115,5,0,15,0,0,0,0,28,0,0,0,0,13,0,0,12,0,14,0,0,10,16,1,1,29,14,0,16,0,29,29,0,16,0,0,0,29,0
8,1064,1,47,0,25,980,3,0,0,0,23,1808,353,1255,524,823,112,571,392,0,55,447,0,6,220,378,111,133,0,1786,15,10,797,14,102,1,1780,1624,48,194,271
9,0,722,47,1592,555,0,461,0,0,0,5,0,3,0,199,624,820,385,635,655,182,277,457,487,515,100,417,786,0,0,1509,1395,344,1048,344,1089,0,32,143,1151,25
10,406,207,412,57,645,1138,131,28,23,5,0,77,872,176,996,559,49,100,1130,60,349,862,0,563,1616,1341,1153,742,71,105,331,149,450,357,53,112,40,97,0,939,1124
11,1184,11,126,1,63,1129,14,0,1808,0,77,0,431,1398,621,1029,215,619,524,9,81,551,5,24,343,461,166,255,0,1994,109,53,950,106,116,73,1877,1906,87,347,348
12,893,145,68,12,650,1290,81,0,353,3,872,431,0,510,1629,1066,127,407,1734,49,201,1764,12,432,1245,1913,1198,377,1,491,156,113,313,68,150,14,401,414,4,680,1663
13,1505,1,177,0,53,1502,3,0,1255,0,176,1398,510,0,787,1030,104,596,632,0,70,602,0,14,436,623,267,263,0,1744,26,5,777,27,102,16,1474,1335,33,372,465
14,1211,710,96,214,1357,1687,523,0,524,199,996,621,1629,787,0,1287,237,892,2217,496,481,1754,342,1097,2077,2395,2123,915,0,740,503,584,452,122,513,73,614,565,7,994,2096
15,1136,638,316,815,840,1422,433,13,823,624,559,1029,1066,1030,1287,0,1400,976,1884,530,467,1620,348,685,1273,1163,975,1307,36,1017,1490,1030,1631,1115,455,971,887,1262,484,1804,855
16,73,487,192,1016,411,126,269,0,112,820,49,215,127,104,237,1400,0,312,662,460,242,427,260,311,489,189,325,919,0,140,1542,1088,1072,1301,282,1205,117,467,514,1340,102
17,637,1442,50,347,1014,660,1545,0,571,385,100,619,407,596,892,976,312,0,1284,865,663,814,849,1331,1395,561,993,842,0,602,728,857,475,121,1631,97,588,620,8,619,360
18,934,1919,275,691,2660,1667,1148,12,392,635,1130,524,1734,632,2217,1884,662,1284,0,1397,731,2217,962,2261,3067,2185,2969,1972,48,541,1480,1866,880,514,920,412,431,591,135,2071,1770
19,1,2112,24,668,1584,60,1137,0,0,655,60,9,49,0,496,530,460,865,1397,0,380,422,1190,1329,1148,230,1155,1062,0,2,1162,1902,196,330,816,296,0,19,89,814,127
20,109,666,198,196,721,379,755,14,55,182,349,81,201,70,481,467,242,663,731,380,0,411,362,1113,1322,388,800,1076,65,69,625,416,335,260,639,173,55,89,9,609,274
21,932,534,99,306,989,1352,433,0,447,277,862,551,1764,602,1754,1620,427,814,2217,422,411,0,337,795,1518,1819,1403,794,1,584,600,551,564,257,459,176,490,580,61,1127,1453
22,0,1303,0,416,1027,0,1062,0,0,457,0,5,12,0,342,348,260,849,962,1190,362,337,0,980,830,134,831,696,0,0,801,1053,61,116,808,104,0,0,7,434,34
23,181,2355,86,511,2549,576,1777,10,6,487,563,24,432,14,1097,685,311,1331,2261,1329,1113,795,980,0,2873,831,2447,1859,31,15,1217,1621,252,254,1315,170,7,33,7,1250,671
24,708,1907,479,558,2489,1564,1484,16,220,515,1616,343,1245,436,2077,1273,489,1395,3067,1148,1322,1518,830,2873,0,2089,3262,2444,71,357,1415,1437,840,560,1207,339,243,390,69,1961,1664
25,1028,398,123,129,1074,1653,283,1,378,100,1341,461,1913,623,2395,1163,189,561,2185,230,388,1819,134,831,2089,0,2005,728,4,543,336,323,416,127,280,65,437,430,7,972,2349
26,602,1782,133,446,2708,1197,1159,1,111,417,1153,166,1198,267,2123,975,325,993,2969,1155,800,1403,831,2447,3262,2005,0,1728,6,200,1089,1463,305,207,869,120,130,174,7,1425,1733
27,239,1466,733,929,1715,775,996,29,133,786,742,255,377,263,915,1307,919,842,1972,1062,1076,794,696,1859,2444,728,1728,0,69,209,1803,1624,1329,1158,744,773,137,396,222,2358,526
28,0,0,70,11,1,69,0,14,0,0,71,0,1,0,0,36,0,0,48,0,65,1,0,31,71,4,6,69,0,0,69,0,69,69,0,64,0,0,0,70,1
29,1568,3,125,0,52,1386,5,0,1786,0,105,1994,491,1744,740,1017,140,602,541,2,69,584,0,15,357,543,200,209,0,0,36,15,902,38,106,15,2027,1808,54,304,418
30,7,1337,314,1805,1245,317,915,16,15,1509,331,109,156,26,503,1490,1542,728,1480,1162,625,600,801,1217,1415,336,1089,1803,69,36,0,2244,1242,1984,663,1824,15,359,450,2322,200
31,5,2255,70,1525,1915,155,1099,0,10,1395,149,53,113,5,584,1030,1088,857,1866,1902,416,551,1053,1621,1437,323,1463,1624,0,15,2244,0,628,1238,791,1217,10,190,301,1814,203
32,587,241,890,534,261,879,107,29,797,344,450,950,313,777,452,1631,1072,475,880,196,335,564,61,252,840,416,305,1329,69,902,1242,628,0,1483,166,926,802,1292,472,1729,270
33,8,365,661,1330,274,237,134,29,14,1048,357,106,68,27,122,1115,1301,121,514,330,260,257,116,254,560,127,207,1158,69,38,1984,1238,1483,0,104,1770,17,356,441,1947,61
34,140,1447,42,308,919,145,1589,0,102,344,53,116,150,102,513,455,282,1631,920,816,639,459,808,1315,1207,280,869,744,0,106,663,791,166,104,0,86,102,111,8,449,170
35,0,353,241,1361,207,112,106,16,1,1089,112,73,14,16,73,971,1205,97,412,296,173,176,104,170,339,65,120,773,64,15,1824,1217,926,1770,86,0,1,284,430,1449,18
36,1294,1,52,0,38,1160,3,0,1780,0,40,1877,401,1474,614,887,117,588,431,0,55,490,0,7,243,437,130,137,0,2027,15,10,802,17,102,1,0,1656,48,210,322
37,1076,23,214,80,65,1095,16,0,1624,32,97,1906,414,1335,565,1262,467,620,591,19,89,580,0,33,390,430,174,396,0,1808,359,190,1292,356,111,284,1656,0,268,607,314
38,22,93,56,207,47,6,8,0,48,143,0,87,4,33,7,484,514,8,135,89,9,61,7,7,69,7,7,222,0,54,450,301,472,441,8,430,48,268,0,327,1
39,398,1101,790,1436,1375,1065,609,29,194,1151,939,347,680,372,994,1804,1340,619,2071,814,609,1127,434,1250,1961,972,1425,2358,70,304,2322,1814,1729,1947,449,1449,210,607,327,0,715
40,863,284,96,49,928,1376,165,0,271,25,1124,348,1663,465,2096,855,102,360,1770,127,274,1453,34,671,1664,2349,1733,526,1,418,200,203,270,61,170,18,322,314,1,715,0
